movie_name,categories,movie_rate,description,country,release_date,duration,movie_link
The Inheritance,Horror,4.6,"Billionaire Charles Abernathy, on the eve of his 75th birthday, invites his four estranged children back home out of fear that tonight someone – or something – is coming to kill him. To ensure his family will help protect him from whatever’s coming, Abernathy puts each of their inheritances on the line – they’ll get nothing if he’s found dead by dawn.",USA,2024,64,https://goku.sx/movie/watch-the-inheritance-111352
The Convert,"Action, Drama",6.4,"Munro, a soldier turned lay preacher, comes to New Zealand to minister to the first British colonists, but he is converted by the powerful chief Maianui to serve a different purpose.","Australia, New Zealand",2024,119,https://goku.sx/movie/watch-the-convert-111349
Mind Body Spirit,"Horror, Thriller",5.3,An aspiring yoga influencer embarks on a ritual practice left behind by her estranged grandmother.,USA,2023,88,https://goku.sx/movie/watch-mind-body-spirit-111343
Free Time,Comedy,5.6,"Drew is approaching the end of his twenties and, with it, his relative youth. Looking to make a sudden change, he decides to quit his cushy desk job and “embrace life.” Cycling quickly through friends, hobbies, and goals, it’s not long until Drew realizes he has no idea what to do with his newfound freedom.",USA,2024,78,https://goku.sx/movie/watch-free-time-111337
Darkest of Lies,"Drama, Thriller, Horror",5.3,"The twisted tale of a struggling marriage, and a veteran who’s haunted by a violent future he’s fighting to avoid.",USA,2023,116,https://goku.sx/movie/watch-darkest-of-lies-111334
Bye Bye Tiberias,Documentary,7.3,"In her early twenties, Hiam Abbass left her native Palestinian village to follow her dream of becoming an actress in Europe, leaving behind her mother, grandmother, and seven sisters. Thirty years later, her filmmaker daughter Lina returns with her to the village and questions for the first time her mother’s bold choices, her chosen exile and the way the women in their family influenced both their lives.","Belgium, France",2024,83,https://goku.sx/movie/watch-bye-bye-tiberias-111331
A Song from the Dark,"Fantasy, Horror",4.2,"Ashionye, a reluctant Nigerian Shaman living in the south of England, who has been hired by an old family friend, Isioma Williams, to investigate and expel a malevolent spirit that has been tormenting her family after the death of her estranged husband, Magnus. To the chagrin of her demon hunting partner, Marv Taylor, Ashionye reluctantly accepts the job as a way to repay an old debt she owes Isioma. As Ashionye digs deeper into Isioma’s family situation, she finds herself standing against a familiar force that brought about her trauma since childhood.",UK,2023,105,https://goku.sx/movie/watch-a-song-from-the-dark-111328
Quad Gods,Documentary,7.1,"As the world’s first all quadriplegic esports gaming team, the Quad Gods are fierce competitors in this captivating story that challenges assumptions about disability, and spotlights the restorative power of resilience, passion and found community",USA,2024,90,https://goku.sx/movie/watch-quad-gods-111307
Descendants: The Rise of Red,"Fantasy, Adventure, Family, Comedy",4.6,"After the Queen of Hearts incites a coup on Auradon, her rebellious daughter Red and Cinderella's perfectionist daughter Chloe join forces and travel back in time to try to undo the traumatic event that set Red's mother down her villainous path.",USA,2024,94,https://goku.sx/movie/watch-descendants-the-rise-of-red-111298
Blame the Game,"Comedy, Romance",5.4,"Pia and Jan have just fallen in love and arranged to meet Pia's friends for a game night. Jan meets Pia's friends for the first time and is under pressure to make the perfect first impression. When Pia's ex-boyfriend shows up and even Jan's buddy's tips can't save anything, everything is at stake: the relationship, the friendship, and the definition of truth.",Germany,2024,91,https://goku.sx/movie/watch-blame-the-game-111295
