movie_name,categories,movie_rate,description,country,release_date,duration,movie_link
My First Film,Drama,5.8,"A young filmmaker, Vita, revisits her first chaotic attempt at filmmaking 15 years prior. Shooting a semi-autobiographical film starring her friend Dina, Vita’s eager but inexperienced approach causes the production to spiral into chaos, leading to significant disruptions and a near-fatal accident.","UK, USA",2024,100,https://goku.sx/movie/watch-my-first-film-113737
Killer Babes,"Comedy, Crime, Thriller",3.4,"Three girlfriends, neglected and mistreated by their husbands, plan to take revenge on them with the help of an experienced man in this type of job.",Mexico,2024,95,https://goku.sx/movie/watch-killer-babes-113734
Réveillon,"Comedy, Drama",7.3,,Canada,2023,101,https://goku.sx/movie/watch-reveillon-113698
One Shot,"Drama, Crime",5.9,"One accidental shot will intertwine the destinies of two young women - Anita, an inspector who gets on amazingly in professional and quite well in her private life and Petra, a young woman whose everyday life would surely be simpler if she did not have to take care of her alcoholic mother. The investigation on the accidental shot will intertwine their destinies at a moment when they both find that they are pregnant. A huge turning point in their lives, each in her own world and equally left on their own, these two women will, step by step, become close during the investigation.",,2013,76,https://goku.sx/movie/watch-one-shot-113695
Dìdi,"Comedy, Drama",7.8,"In 2008, during the last month of summer before high school begins, an impressionable 13-year-old Taiwanese American boy learns what his family can't teach him: how to skate, how to flirt, and how to love your mom.","UK, USA",2024,94,https://goku.sx/movie/watch-didi-112888
Skincare,"Thriller, Drama",6.4,"Legendary facialist-to-the-stars Hope Goldman is preparing to enter the next phase of her career by launching her own retail line of skincare products. However, she begins to sense that someone is trying to sabotage her business and destroy her life after she becomes entangled in a series of menacing situations. Consumed with paranoia, Hope goes on an investigation across Hollywood to find out who is responsible and save her business — by any means necessary.","Italy, USA",2024,94,https://goku.sx/movie/watch-skincare-112873
The Good Half,"Comedy, Drama",5.6,"An emotionally distant writer returns to his hometown of Cleveland for his beloved mother’s funeral, after having spent years successfully avoiding interactions with his high-strung sister, bumbling but well-meaning father, and untrustworthy step-father. While in town, he forges a new relationship with a charming, energetic stranger who pushes him to realize that he can’t avoid conflict forever — with his family or within himself.",USA,2024,96,https://goku.sx/movie/watch-the-good-half-113563
Out Come the Wolves,"Thriller, Horror, Action",4.6,"At a cabin deep in the wilderness, a weekend of hunting turns to mayhem and a fight for survival when a pack of wolves attack a man, his female best friend and her fiance.",Canada,2024,87,https://goku.sx/movie/watch-out-come-the-wolves-113530
Trap,"Thriller, Horror",6.2,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",USA,2024,105,https://goku.sx/movie/watch-trap-112234
Borderlands,"Action, Science Fiction, Adventure",4.3,"Returning to her home planet, an infamous outlaw forms an unexpected alliance with a team of unlikely heroes. Together, they battle alien monsters and dangerous bandits to find a missing girl who holds the key to unimaginable power.",USA,2024,101,https://goku.sx/movie/watch-borderlands-112477
The Lockdown,Action,4.3,"Siblings Charlie and Jack are trapped in Myanmar's toughest prison and accused of a crime they didn't commit. Forced into televised fights against other inmates, they must work together and fight for their freedom.",USA,2024,112,https://goku.sx/movie/watch-the-lockdown-113350
The Girl with No Name,"Mystery, Thriller, TV Movie",5.9,"A podcast host returns to her small hometown where a recent death rekindles her interest in a long-unsolved case, throwing her into a dangerous game of cat and mouse as she hunts for the truth.",USA,2024,90,https://goku.sx/movie/watch-the-girl-with-no-name-113347
Death in the Cul-de-Sac,"Drama, Thriller",6.7,"Anita Jackson is thrilled when she and husband Jack move to an exclusive neighborhood with their adopted daughter Jilly. When she is invited to join the development's Wives Club, her calendar is suddenly filled with parties, play dates and posh lunches. But strange things keep happening and the wives are more interested in befriending Jilly than her. When she discovers a former member of the Club died suspiciously, she is certain those Wives killed her.",Canada,2024,89,https://goku.sx/movie/watch-death-in-the-cul-de-sac-113335
Longlegs,"Crime, Horror, Thriller",7.1,"In pursuit of a notorious serial killer, a rookie FBI agent with a mysterious past must solve a series of occult clues to end his terrifying killing spree.","Canada, USA",2024,101,https://goku.sx/movie/watch-longlegs-111361
The Clean Up Crew,"Action, Comedy, Crime",4.5,"When a crime scene clean up crew discovers a briefcase full of money, they must out smart a criminal kingpin and corrupt FBI agents who want it back.","Ireland, USA",2024,95,https://goku.sx/movie/watch-the-clean-up-crew-112975
Love in Wolf Creek,"TV Movie, Romance",6.0,Sam sets out to save a pack of wild wolves and a conservation refuge with the help of the town's handsome newcomer.,"Canada, USA",2022,90,https://goku.sx/movie/watch-love-in-wolf-creek-112969
Peter Five Eight,"Thriller, Comedy, Drama",6.4,"Sam, a seemingly poised and glamorous real estate agent in a small mountain community, is revealed to be an unhinged and troubled alcoholic with a dark secret, when a charismatic man named Peter shows up in town one day. As she tries to keep her life from unravelling, an older co-worker named Brenda is targeted by Peter for information at the behest of his powerful and shadowy boss, Mr. Lock.",USA,2024,100,https://goku.sx/movie/watch-peter-five-eight-107614
Sk8face,Documentary,8.2,"Tells the history of skateboard art and its evolution through the decades, as iconic and rebellious skateboarders and artists give firsthand experiences and stories about their art that challenged the establishment.",USA,2024,79,https://goku.sx/movie/watch-sk8face-112951
Firecracker,"Thriller, Action",3.7,"When a heist goes dramatically wrong, leaving a hostage in peril, an unlikely trio find themselves fighting for their lives and their sanity on bonfire night.",UK,2024,107,https://goku.sx/movie/watch-firecracker-112948
Inside Out 2,"Animation, Family, Drama, Adventure, Comedy",8.0,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",USA,2024,97,https://goku.sx/movie/watch-inside-out-2-110170
The Union,"Action, Comedy",5.5,A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,USA,2024,109,https://goku.sx/movie/watch-the-union-112837
Gunner,"Action, Thriller, Crime",3.3,"While on a camping trip in order to reconnect, war veteran Colonel Lee Gunner must save his two sons from a gang of violent bikers when they're kidnapped after accidentally stumbling upon to a massive drug operation.",USA,2024,90,https://goku.sx/movie/watch-gunner-112819
Dance First,"History, Drama",6.1,"Parisian bon vivant, World War II Resistance fighter, Nobel Prize-winning playwright, philandering husband and recluse…Samuel Beckett lived a life of many parts. Titled after Beckett’s famous ethos “Dance first, think later”, the film is a sweeping account of the life of this 20th-century icon.","Belgium, Hungary, UK",2023,100,https://goku.sx/movie/watch-dance-first-112816
Crescent City,"Crime, Thriller, Action",3.8,"A small town in the south is ravaged by a serial killer, with everyone being a suspect including the police.",USA,2024,103,https://goku.sx/movie/watch-crescent-city-112813
The Duel,"Comedy, Drama",4.4,"When Woody finds out his best friend has been sleeping with his girlfriend, he challenges him to a duel, taking their friend group across the border to a mysterious and stunning estate.",USA,2024,99,https://goku.sx/movie/watch-the-duel-112774
